Brain anatomy,,
,CSF,
,,Ventricule
,White matter,
,,Brain stem
,,Cerebellum
,,Global
,,OpticChiasm
,Grey matter,
,,Cerebellum
,,Cerebral nuclei
,,CSF
,,Diencephalon
,,Frontal
,,Orbitalgyrus
,,Insula
,,Limbic
,,Occipital
,,Operculum
,,Parietal
,,Temporal
,,Vessel
,,Others
Brain metabolism,,
,PET,
,,FDG
,,PIB
,,FDG_bl
,,PIB_bl
,,AV45_bl
Clinical,,
,Cognition,
,,AV45
,,CDRSB
,,ADAS11
,,ADAS13
,,MMSE
,,RAVLT
,,RAVLT_immediate
,,FAQ
,,MOCA
,,EcogPtMem
,,EcogPtLang
,,EcogPtVisspat
,,EcogPtPlan
,,EcogPtOrgan
,,EcogPtDivatt
,,EcogPtTotal
,,EcogSPMem
,,EcogSPLang
,,EcogSPVisspat
,,EcogSPPlan
,,EcogSPOrgan
,,EcogSPDivatt
,,EcogSPTotal
,,CDRSB_bl
,,ADAS11_bl
,,ADAS13_bl
,,MMSE_bl
,,RAVLT_bl
,,RAVLT_immediate_bl
,,FAQ_bl
,,MOCA_bl
,,EcogPtMem_bl
,,EcogPtLang_bl
,,EcogPtVisspat_bl
,,EcogPtPlan_bl
,,EcogPtOrgan_bl
,,EcogPtDivatt_bl
,,EcogPtTotal_bl
,,EcogSPMem_bl
,,EcogSPLang_bl
,,EcogSPVisspat_bl
,,EcogSPPlan_bl
,,EcogSPOrgan_bl
,,EcogSPDivatt_bl
,,EcogSPTotal_bl
